Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,Attrition,EducationField
34,Female,Research & Development,Research Scientist,4505,1,No,2,3,0,Life Sciences
37,Male,Sales,Sales Executive,7428,5,No,4,3,0,Life Sciences
34,Female,Research & Development,Manager,11631,11,No,1,3,0,Medical
36,Female,Sales,Sales Executive,9738,9,No,4,3,0,Technical Degree
36,Female,Research & Development,Laboratory Technician,2835,1,No,4,3,0,Life Sciences
43,Male,Sales,Manager,16959,25,Yes,4,4,0,Life Sciences
30,Male,Research & Development,Research Scientist,2613,10,No,3,2,0,Life Sciences
33,Male,Sales,Sales Executive,6146,7,No,2,4,0,Marketing
56,Female,Research & Development,Research Scientist,4963,5,Yes,2,3,1,Life Sciences
51,Male,Research & Development,Research Director,19537,20,No,3,3,0,Life Sciences
31,Male,Sales,Sales Executive,6172,7,Yes,3,2,1,Life Sciences
26,Female,Research & Development,Research Scientist,2368,5,No,2,2,0,Other
58,Female,Research & Development,Healthcare Representative,10312,40,No,4,2,1,Medical
19,Male,Sales,Sales Representative,1675,0,Yes,3,2,1,Marketing
22,Male,Research & Development,Laboratory Technician,2523,2,No,4,3,0,Technical Degree
49,Female,Research & Development,Manufacturing Director,6567,15,No,1,2,0,Medical
43,Female,Research & Development,Research Scientist,4739,3,No,3,3,0,Medical
50,Female,Sales,Sales Executive,9208,2,No,4,3,0,Marketing
31,Female,Sales,Sales Executive,4559,2,Yes,3,3,1,Life Sciences
41,Male,Sales,Sales Executive,8189,9,Yes,3,3,0,Life Sciences
26,Female,Human Resources,Human Resources,2942,8,No,3,3,0,Life Sciences
36,Male,Research & Development,Manufacturing Director,4941,3,No,2,3,0,Medical
51,Male,Research & Development,Manufacturing Director,10650,4,No,4,3,1,Life Sciences
39,Female,Sales,Sales Executive,5902,15,No,3,4,0,Life Sciences
25,Male,Sales,Sales Executive,8639,2,No,3,3,0,Life Sciences
30,Male,Human Resources,Human Resources,6347,11,Yes,4,1,0,Human Resources
32,Female,Research & Development,Laboratory Technician,4200,5,No,1,4,1,Medical
45,Male,Research & Development,Research Scientist,3452,6,No,4,2,0,Medical
38,Female,Research & Development,Research Scientist,4317,3,Yes,3,3,0,Technical Degree
30,Female,Research & Development,Research Scientist,2632,5,No,3,2,0,Life Sciences
32,Male,Sales,Sales Executive,4668,8,No,4,4,0,Medical
30,Female,Research & Development,Research Scientist,3204,3,No,1,3,0,Technical Degree
30,Male,Research & Development,Laboratory Technician,2720,5,No,4,3,0,Medical
41,Male,Research & Development,Manager,17181,7,No,1,2,0,Life Sciences
41,Male,Research & Development,Laboratory Technician,2238,5,No,1,3,0,Life Sciences
19,Female,Research & Development,Laboratory Technician,1483,1,No,2,3,0,Medical
40,Female,Research & Development,Research Scientist,5605,20,No,2,3,0,Medical
35,Male,Sales,Sales Executive,7295,10,No,2,3,0,Marketing
53,Male,Sales,Sales Representative,2306,7,Yes,3,1,0,Marketing
45,Male,Research & Development,Laboratory Technician,2348,17,No,2,1,0,Life Sciences
32,Female,Sales,Sales Executive,8998,9,No,4,3,0,Marketing
29,Male,Research & Development,Manufacturing Director,4319,10,No,3,3,0,Technical Degree
51,Male,Research & Development,Manufacturing Director,6132,1,No,3,3,0,Medical
58,Female,Research & Development,Research Scientist,3346,1,Yes,2,2,0,Medical
40,Male,Sales,Sales Executive,10855,12,No,4,2,0,Marketing
34,Female,Sales,Sales Representative,2231,4,No,3,3,0,Marketing
22,Male,Research & Development,Research Scientist,2323,2,No,4,3,0,Medical
27,Male,Research & Development,Research Scientist,2024,2,No,2,1,0,Medical
28,Male,Research & Development,Research Scientist,2713,5,No,4,1,0,Medical
57,Male,Research & Development,Healthcare Representative,9439,5,Yes,4,1,0,Life Sciences
27,Male,Research & Development,Research Scientist,2566,1,Yes,3,2,0,Medical
50,Female,Research & Development,Manager,19926,5,No,2,3,0,Life Sciences
41,Male,Research & Development,Research Scientist,2451,9,No,3,3,0,Life Sciences
30,Female,Sales,Sales Executive,9419,10,No,4,3,0,Life Sciences
38,Female,Sales,Sales Executive,8686,8,No,4,4,0,Life Sciences
32,Male,Research & Development,Research Scientist,3038,5,No,3,3,0,Life Sciences
27,Male,Research & Development,Research Scientist,3058,5,Yes,2,2,0,Technical Degree
19,Female,Sales,Sales Representative,2325,0,No,1,4,1,Technical Degree
36,Male,Research & Development,Laboratory Technician,2088,8,No,2,2,0,Medical
30,Male,Research & Development,Laboratory Technician,3072,12,No,1,3,0,Medical
45,Female,Sales,Sales Executive,5006,5,Yes,1,4,0,Life Sciences
56,Female,Research & Development,Research Scientist,4257,2,Yes,1,3,0,Life Sciences
33,Male,Research & Development,Research Scientist,2500,3,No,4,4,0,Life Sciences
19,Male,Research & Development,Laboratory Technician,1102,1,No,4,2,1,Life Sciences
46,Female,Sales,Sales Executive,10453,24,No,1,3,0,Marketing
38,Female,Research & Development,Laboratory Technician,2288,2,No,4,3,0,Life Sciences
31,Female,Research & Development,Research Scientist,3929,4,Yes,4,3,0,Medical
34,Female,Research & Development,Research Scientist,2311,3,No,2,3,0,Medical
41,Female,Sales,Sales Representative,3140,4,Yes,2,2,1,Marketing
50,Male,Research & Development,Laboratory Technician,3690,3,No,3,2,0,Medical
53,Female,Research & Development,Manufacturing Director,4450,4,No,1,3,0,Medical
33,Female,Research & Development,Research Scientist,2756,8,No,2,3,0,Medical
40,Female,Research & Development,Manager,19033,20,No,3,3,0,Medical
55,Male,Research & Development,Research Director,18722,24,No,2,3,0,Medical
34,Male,Research & Development,Manufacturing Director,9547,10,No,3,2,0,Life Sciences
51,Female,Research & Development,Healthcare Representative,13734,7,No,2,3,0,Medical
52,Male,Research & Development,Manager,19999,33,No,3,3,0,Life Sciences
27,Female,Research & Development,Research Scientist,2279,7,No,2,2,0,Medical
35,Male,Research & Development,Manufacturing Director,5916,1,Yes,3,3,1,Life Sciences
43,Male,Research & Development,Research Scientist,2089,5,No,4,4,0,Medical
45,Male,Research & Development,Manager,16792,20,No,4,3,0,Medical
37,Male,Research & Development,Research Scientist,3564,8,Yes,1,2,0,Life Sciences
35,Female,Research & Development,Laboratory Technician,4425,6,No,2,3,0,Medical
42,Female,Research & Development,Manufacturing Director,5265,5,No,3,3,0,Medical
38,Male,Research & Development,Manufacturing Director,6553,1,No,3,3,0,Life Sciences
38,Male,Research & Development,Manufacturing Director,6261,7,No,4,1,0,Technical Degree
27,Male,Research & Development,Manufacturing Director,4298,2,No,1,3,0,Technical Degree
49,Male,Research & Development,Manufacturing Director,6804,7,Yes,4,3,0,Life Sciences
34,Male,Research & Development,Research Scientist,3815,5,Yes,3,4,0,Medical
40,Male,Research & Development,Laboratory Technician,2741,7,Yes,4,4,0,Medical
38,Male,Research & Development,Healthcare Representative,6673,1,Yes,1,3,1,Medical
29,Female,Sales,Sales Executive,7639,10,No,4,2,1,Marketing
22,Male,Research & Development,Research Scientist,2328,4,Yes,2,2,0,Life Sciences
36,Female,Research & Development,Laboratory Technician,2153,8,No,4,3,0,Medical
40,Male,Research & Development,Healthcare Representative,4876,3,No,4,1,0,Life Sciences
46,Male,Research & Development,Healthcare Representative,9396,4,No,1,3,0,Medical
32,Male,Sales,Sales Executive,10400,14,No,4,2,1,Medical
30,Male,Research & Development,Manufacturing Director,8474,11,No,3,3,0,Life Sciences
27,Female,Sales,Sales Executive,9981,7,No,3,3,0,Life Sciences
51,Male,Research & Development,Research Director,12490,10,No,2,1,0,Life Sciences
30,Female,Research & Development,Research Scientist,2657,5,Yes,1,3,1,Technical Degree
41,Female,Sales,Manager,13591,1,Yes,4,3,0,Life Sciences
30,Female,Sales,Sales Executive,6696,6,No,1,2,1,Marketing
29,Male,Research & Development,Research Scientist,2058,6,No,3,2,1,Technical Degree
45,Female,Sales,Sales Executive,8865,19,No,4,3,0,Medical
54,Female,Sales,Sales Executive,5940,6,No,1,3,0,Marketing
36,Male,Research & Development,Laboratory Technician,5914,13,No,2,4,0,Life Sciences
33,Female,Research & Development,Research Scientist,2622,3,No,2,3,0,Medical
37,Male,Research & Development,Research Director,12185,10,Yes,4,3,0,Other
38,Male,Sales,Sales Executive,10609,16,No,3,2,0,Life Sciences
31,Male,Research & Development,Manufacturing Director,4345,5,No,3,3,0,Medical
59,Male,Research & Development,Research Scientist,2177,1,No,4,3,0,Life Sciences
37,Male,Sales,Sales Representative,2793,9,No,4,3,0,Marketing
29,Female,Sales,Sales Executive,7918,11,No,4,3,0,Medical
35,Female,Sales,Sales Executive,8789,10,No,3,4,0,Marketing
29,Male,Research & Development,Research Scientist,2389,4,Yes,4,2,1,Medical
52,Female,Research & Development,Laboratory Technician,3212,2,No,4,2,0,Life Sciences
42,Male,Research & Development,Manager,19232,22,No,4,3,0,Technical Degree
59,Male,Human Resources,Human Resources,2267,2,No,3,2,0,Medical
50,Female,Sales,Manager,19517,7,No,4,2,0,Medical
33,Male,Research & Development,Laboratory Technician,2436,5,Yes,4,1,1,Medical
43,Female,Sales,Manager,16064,17,Yes,4,3,0,Marketing
33,Female,Research & Development,Laboratory Technician,2707,9,No,1,4,1,Life Sciences
52,Male,Sales,Manager,19068,33,Yes,3,4,0,Life Sciences
32,Female,Sales,Sales Representative,3931,4,No,2,3,0,Life Sciences
32,Male,Research & Development,Laboratory Technician,3730,3,Yes,3,1,1,Life Sciences
39,Female,Research & Development,Laboratory Technician,2232,3,No,3,3,0,Medical
32,Male,Sales,Sales Executive,4465,3,No,4,3,0,Marketing
41,Male,Research & Development,Research Scientist,3072,1,No,1,2,0,Life Sciences
40,Male,Research & Development,Research Scientist,3319,9,No,4,3,0,Technical Degree
45,Male,Research & Development,Manager,19202,24,No,4,3,0,Other
31,Male,Research & Development,Research Director,13675,2,No,3,3,0,Medical
33,Female,Research & Development,Research Scientist,2911,2,No,4,2,0,Life Sciences
34,Male,Research & Development,Manufacturing Director,5957,11,No,1,3,0,Life Sciences
37,Female,Research & Development,Research Scientist,3920,3,No,1,2,0,Medical
45,Male,Research & Development,Manufacturing Director,6434,3,No,3,3,0,Life Sciences
37,Male,Research & Development,Manufacturing Director,10048,1,No,3,3,1,Medical
39,Female,Research & Development,Healthcare Representative,10938,19,No,3,3,0,Technical Degree
29,Male,Research & Development,Research Scientist,2340,6,No,4,3,0,Life Sciences
42,Female,Research & Development,Research Scientist,6545,3,Yes,1,3,0,Life Sciences
29,Male,Sales,Sales Executive,6931,3,No,4,3,0,Marketing
25,Female,Research & Development,Manufacturing Director,4898,4,No,3,3,0,Life Sciences
42,Female,Research & Development,Laboratory Technician,2593,9,Yes,1,3,0,Medical
40,Male,Research & Development,Research Director,19436,21,No,3,3,0,Medical
51,Male,Research & Development,Research Scientist,2723,1,No,4,2,0,Life Sciences
31,Male,Research & Development,Laboratory Technician,3479,5,No,2,4,1,Medical
32,Male,Research & Development,Laboratory Technician,2794,5,No,2,1,0,Life Sciences
38,Male,Sales,Sales Executive,5249,8,No,4,3,0,Life Sciences
32,Male,Research & Development,Laboratory Technician,2176,6,No,1,3,0,Technical Degree
46,Female,Sales,Manager,16872,7,Yes,2,2,0,Technical Degree
28,Male,Research & Development,Laboratory Technician,3485,0,No,3,1,1,Life Sciences
29,Male,Sales,Sales Executive,6644,0,No,2,3,0,Medical
31,Male,Research & Development,Healthcare Representative,5582,9,No,4,3,0,Medical
25,Male,Research & Development,Healthcare Representative,4000,6,No,1,3,0,Life Sciences
45,Male,Research & Development,Healthcare Representative,13496,20,Yes,4,3,0,Medical
36,Male,Research & Development,Laboratory Technician,3210,15,No,4,3,0,Life Sciences
55,Male,Research & Development,Manager,19045,36,Yes,1,3,0,Medical
47,Male,Research & Development,Manager,11849,10,Yes,2,2,1,Life Sciences
28,Male,Research & Development,Research Scientist,2070,5,No,4,2,0,Medical
37,Male,Sales,Sales Executive,6502,5,No,4,4,0,Medical
21,Male,Research & Development,Research Scientist,3230,3,No,3,4,0,Medical
37,Female,Research & Development,Research Director,13603,5,Yes,4,3,0,Medical
35,Female,Research & Development,Manager,11996,7,No,2,2,0,Life Sciences
38,Female,Sales,Sales Executive,5605,8,Yes,1,3,0,Medical
26,Female,Research & Development,Manufacturing Director,6397,6,No,2,1,0,Life Sciences
50,Male,Research & Development,Research Director,19144,10,No,2,2,0,Life Sciences
53,Male,Research & Development,Research Director,17584,5,Yes,3,2,0,Medical
42,Male,Sales,Sales Executive,4907,20,No,3,3,0,Life Sciences
29,Male,Sales,Sales Executive,4554,10,No,4,2,0,Life Sciences
55,Male,Research & Development,Laboratory Technician,5415,10,Yes,4,3,0,Technical Degree
26,Male,Research & Development,Healthcare Representative,4741,5,Yes,1,3,0,Medical
37,Female,Research & Development,Research Scientist,2115,17,No,4,3,0,Life Sciences
44,Male,Research & Development,Laboratory Technician,3161,1,Yes,3,1,1,Life Sciences
38,Male,Research & Development,Healthcare Representative,5745,2,No,4,3,0,Life Sciences
26,Male,Research & Development,Laboratory Technician,2373,3,Yes,2,3,1,Medical
28,Female,Research & Development,Research Scientist,3310,5,No,4,3,0,Life Sciences
49,Female,Research & Development,Research Director,18665,3,Yes,1,3,0,Life Sciences
36,Male,Research & Development,Research Scientist,4485,8,No,2,3,0,Technical Degree
31,Female,Sales,Sales Representative,2789,2,No,2,2,0,Marketing
26,Male,Sales,Sales Executive,5828,8,Yes,4,3,1,Marketing
37,Male,Research & Development,Research Scientist,2326,4,Yes,4,2,0,Medical
42,Female,Sales,Sales Executive,13525,20,No,2,4,0,Marketing
18,Male,Research & Development,Laboratory Technician,1420,0,No,3,3,1,Life Sciences
35,Male,Sales,Sales Executive,8020,11,No,2,2,0,Marketing
36,Male,Research & Development,Laboratory Technician,3688,1,No,4,3,0,Life Sciences
51,Male,Research & Development,Manufacturing Director,5482,4,No,2,3,0,Medical
41,Male,Sales,Manager,16015,22,No,2,3,0,Life Sciences
18,Female,Sales,Sales Representative,1200,0,No,3,3,0,Medical
28,Male,Research & Development,Healthcare Representative,5661,8,No,1,3,0,Medical
31,Male,Sales,Sales Executive,6929,8,No,4,2,0,Technical Degree
39,Male,Research & Development,Healthcare Representative,9613,18,No,4,2,0,Medical
36,Female,Research & Development,Laboratory Technician,5674,9,No,2,3,0,Life Sciences
32,Male,Sales,Sales Executive,5484,13,No,3,2,0,Life Sciences
38,Female,Research & Development,Research Director,12061,10,No,2,3,0,Life Sciences
58,Male,Research & Development,Healthcare Representative,5660,5,Yes,3,3,0,Life Sciences
31,Male,Research & Development,Research Scientist,4821,5,Yes,4,3,0,Technical Degree
31,Male,Human Resources,Human Resources,6410,2,No,1,3,0,Human Resources
45,Male,Research & Development,Laboratory Technician,5210,24,No,1,3,0,Life Sciences
31,Male,Research & Development,Research Scientist,2695,2,Yes,4,1,0,Life Sciences
33,Female,Research & Development,Manager,11878,10,No,2,3,0,Life Sciences
39,Male,Research & Development,Manager,17068,21,Yes,1,3,0,Medical
43,Female,Research & Development,Laboratory Technician,2455,8,No,4,3,0,Life Sciences
49,Female,Research & Development,Healthcare Representative,13964,7,Yes,3,3,0,Technical Degree
52,Male,Research & Development,Research Scientist,4941,8,No,2,2,1,Medical
27,Female,Research & Development,Research Scientist,2478,4,Yes,2,2,0,Life Sciences
32,Female,Sales,Sales Executive,5228,13,Yes,2,3,0,Technical Degree
27,Male,Sales,Sales Executive,4478,5,Yes,3,3,0,Life Sciences
31,Male,Sales,Sales Executive,7547,7,No,4,3,0,Marketing
32,Female,Research & Development,Research Scientist,5055,7,No,4,2,0,Medical
28,Male,Research & Development,Research Scientist,3464,3,Yes,4,2,1,Medical
30,Female,Research & Development,Research Scientist,5775,10,No,4,3,0,Medical
31,Female,Research & Development,Manufacturing Director,8943,10,No,3,3,0,Life Sciences
39,Male,Research & Development,Manager,19272,21,No,4,3,0,Medical
39,Female,Sales,Sales Executive,5238,1,Yes,3,2,1,Medical
33,Male,Sales,Sales Executive,4682,7,No,4,2,0,Marketing
47,Male,Research & Development,Research Director,18300,3,No,3,3,0,Life Sciences
43,Female,Research & Development,Laboratory Technician,5257,9,No,3,4,0,Life Sciences
27,Male,Sales,Sales Executive,6349,5,Yes,2,3,0,Marketing
54,Female,Research & Development,Research Scientist,4869,4,No,3,2,0,Life Sciences
43,Female,Research & Development,Healthcare Representative,9985,1,No,1,2,0,Life Sciences
45,Male,Research & Development,Research Scientist,3697,10,No,4,3,0,Other
40,Male,Sales,Sales Executive,7457,4,Yes,4,2,0,Medical
29,Male,Research & Development,Laboratory Technician,2119,7,Yes,1,2,1,Other
29,Male,Research & Development,Laboratory Technician,3983,3,No,4,3,0,Other
30,Female,Sales,Sales Executive,6118,10,No,3,3,0,Marketing
27,Female,Sales,Sales Executive,6214,8,No,2,3,0,Marketing
37,Male,Research & Development,Manufacturing Director,6347,6,No,4,2,0,Medical
38,Male,Research & Development,Research Director,11510,11,Yes,4,3,0,Life Sciences
31,Female,Research & Development,Manufacturing Director,7143,11,Yes,4,2,0,Medical
29,Female,Sales,Sales Executive,8268,7,Yes,2,3,0,Marketing
35,Male,Research & Development,Manufacturing Director,8095,16,No,2,3,0,Technical Degree
23,Male,Research & Development,Research Scientist,2904,4,No,4,2,0,Life Sciences
41,Male,Research & Development,Manufacturing Director,6032,5,Yes,2,3,0,Medical
47,Male,Sales,Sales Representative,2976,0,No,3,3,0,Medical
42,Female,Research & Development,Research Director,15992,1,No,4,3,0,Life Sciences
29,Male,Sales,Sales Executive,4649,4,No,3,2,0,Life Sciences
42,Male,Human Resources,Human Resources,2696,3,Yes,3,3,0,Technical Degree
32,Female,Research & Development,Laboratory Technician,2370,8,No,2,3,0,Medical
48,Female,Sales,Manager,12504,0,No,3,1,0,Medical
37,Male,Research & Development,Research Scientist,5974,7,Yes,1,3,0,Medical
30,Female,Sales,Sales Executive,4736,2,Yes,3,4,0,Technical Degree
26,Male,Sales,Sales Executive,5296,8,No,3,3,0,Life Sciences
42,Male,Research & Development,Healthcare Representative,6781,1,No,4,3,0,Other
21,Female,Sales,Sales Representative,2174,3,Yes,2,3,1,Technical Degree
36,Female,Sales,Sales Executive,6653,1,No,4,3,0,Medical
36,Male,Sales,Sales Executive,9699,13,No,4,3,0,Medical
57,Male,Research & Development,Healthcare Representative,6755,3,No,3,3,0,Medical
40,Female,Research & Development,Laboratory Technician,2213,7,Yes,3,3,0,Life Sciences
21,Male,Sales,Sales Representative,2610,3,No,4,2,0,Medical
33,Female,Sales,Sales Representative,2851,1,Yes,3,3,1,Marketing
37,Female,Research & Development,Laboratory Technician,3452,5,No,1,3,0,Medical
46,Female,Research & Development,Manufacturing Director,5258,1,No,3,4,0,Medical
41,Male,Sales,Sales Executive,9355,8,No,2,3,1,Marketing
50,Male,Research & Development,Healthcare Representative,10496,4,No,4,3,0,Technical Degree
40,Male,Sales,Sales Executive,6380,6,Yes,3,3,1,Marketing
31,Male,Research & Development,Research Scientist,2657,2,Yes,2,3,0,Life Sciences
21,Female,Sales,Sales Representative,2716,1,No,2,3,1,Life Sciences
29,Male,Research & Development,Research Scientist,2201,3,No,4,3,0,Life Sciences
35,Male,Research & Development,Healthcare Representative,6540,1,No,2,3,0,Life Sciences
27,Male,Research & Development,Laboratory Technician,3816,5,No,2,3,0,Medical
